category,datetime,date,title,content,featured
Development,2026-03-22T08:00,2026.03.22 · 08:00,Assignment 05 완료,"HTML과 CSS로 개인 홈페이지를 만들고 GitHub Pages에 공개했습니다. 앞으로도 배운 내용을 계속 기록하고 개선할 예정입니다.",1
Development,2026-03-22T07:00,2026.03.22 · 07:00,첫 개인 홈페이지 제작 중,"여러 HTML 페이지를 링크하고 하나의 CSS 파일로 공통 디자인을 관리하는 방법을 배우고 있습니다.",0
Development,2026-03-22T03:45,2026.03.22 · 03:45,Assignment 04 완료,"Flask와 AJAX로 구구단과 BMI 계산기를 만들며 서버와 브라우저가 통신하는 흐름을 경험했습니다.",0
Daily,2026-03-21T20:30,2026.03.21 · 20:30,거래 완료,"노트북 구매 시 증정된 이어폰을 판매했습니다. 짧은 거래였지만 직접 소통하고 약속을 맞추는 경험이었습니다.",0
Daily,2026-03-21T19:00,2026.03.21 · 19:00,친구와 외식,"친구와 함께 마라탕을 먹었습니다. 예전에 먹었던 맛과는 조금 달랐지만 함께한 시간이 즐거웠습니다.",0
Daily,2026-03-21T17:00,2026.03.21 · 17:00,Gaming,"친구들과 컴퓨터 게임을 했습니다. 전부 졌지만 함께 웃을 수 있어서 괜찮은 하루였습니다.",0
Cooking,2026-03-21T14:00,2026.03.21 · 14:00,콜라 닭다리 도전,"콜라를 너무 많이 넣어 고기가 퍽퍽해지고 양념도 잘 배지 않았습니다. 다음에는 양을 조절해 다시 도전하려고 합니다.",0
